text,hashtags,user_mentions,date,sentiment_scores,sentiment
Some more updates from what the DAMA Agreement had in store for us.,"DAMAUpdates, Australia",,2019-02-05T08:41:23.000Z,"{'neg': 0.000, 'neu': 0.789, 'pos': 0.211, 'compound': 0.4939}",neutral
The Temporary Graduate visa (subclass 485) allows graduates to work in Australia temporarily after they finish their studies.,"blackpearlimmigrant, updates, study, success, studydestination, destination, Australia, successful, immigration, immigrants, visa, immigrationser",,2018-10-07T13:15:17.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
An update on the story making headlines in Australia about a tourist who was detained. It transpires she overstayed her visa by 111 days. She has to pay the fine first. 'So scared': Australian tourist detained in Thailand texts friend  #Thailand,Thailand,,2019-01-17T01:53:12.000Z,"{'neg': 0.195, 'neu': 0.704, 'pos': 0.101, 'compound': -0.5719}",negative
July 2019 Scholarships update - UTAS Australia,,,2019-03-28T11:47:03.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Important update on entry requirements - The University of Western Australia,,,2019-01-10T11:54:16.000Z,"{'neg': 0.000, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}",neutral
Here's a quick update on the Permanent Employer Sponsored Visas. Let us know if you have any migration concerns?,"Australia, AustraliaMigration, AustraliaVisas, WorkInAustralia, LiveInAustralia, AustralianVisaLaw, AussieMigrationLaw, FlanneryLawhttp://australianvisalaw.com/permanent-employer-sponsored-visas/…",,2018-06-08T00:50:28.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Scholarships update for International students - The University of Adelaide Australia,,,2018-12-11T12:24:38.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Watch Teresa Liu of #Fragomen as she invites you to join us for a webinar, on March 1, providing the latest updates on the much anticipated #TSSvisa (Temporary Skills Shortage) visa, which will replace the #457visa program in Australia:","Fragomen, TSSvisa, 457visa",,2018-02-28T02:04:54.000Z,"{'neg': 0.049, 'neu': 0.898, 'pos': 0.053, 'compound': 0.0516}",neutral
@CurrencyFair have a guide to the March 2018 updates to the 457 visa in #Australia: find out what existing and new applicants need to know when applying for the new #TSS  #expats,"Australia:, TSS, expats",@CurrencyFair,2018-04-12T21:09:06.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Join #Fragomen as we discuss the latest updates on implementation of the much anticipated TSS visa in Australia during our ""Countdown to the TSS Visa - Latest Update,"" on March 1. Learn more:",Fragomen,,2018-02-26T02:00:19.000Z,"{'neg': 0.000, 'neu': 0.936, 'pos': 0.064, 'compound': 0.2960}",neutral
Message from HBC Centre Director Interpreter update: Our application for a visa to bring Tashi into Australia to interpret for Geshe la has been rejected by the government. We have been talking to other interpreters to find some temporary cover .,,,2018-02-25T14:57:49.000Z,"{'neg': 0.076, 'neu': 0.924, 'pos': 0.000, 'compound': -0.5106}",negative
"A quick update: I was granted my visa today at 11h30...Thank you, Australian people.Well, I guess I'm on my way to Melbourne But until then, let's help this Master student with his work.",,,2023-11-11T14:10:19.000Z,"{'neg': 0.000, 'neu': 0.860, 'pos': 0.140, 'compound': 0.6187}",neutral
"Well, these Australians might have rejected my application for a visa to attend a conference where I was meant to present 4 accepted papers But that won't stop me from having beer this weekend!Throats are opened",,,2023-11-11T14:10:19.000Z,"{'neg': 0.054, 'neu': 0.803, 'pos': 0.144, 'compound': 0.3765}",neutral
Worked in Australia on a temporary visa and paid Superannuation? Do you know that you can get it back? Follow us for tips and updates!,,,2018-02-11T19:00:00.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Study Visa Update for Australia ( Good News ),,,2017-03-24T06:34:37.000Z,"{'neg': 0.000, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",neutral
"U.S.A Update : Employment based Visa to be replaced with a point system , as used by Canada and Australia.",,,2017-08-03T07:24:16.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Have you seen our latest news for Australia?,,,2017-05-21T14:10:24.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
RECENT UPDATE! Australian Government to replace 457 visas with new Temporary Skill Shortage (TSS) visa,,,2017-04-19T05:39:59.000Z,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.000, 'compound': -0.3164}",negative
"Recently announced changes in #Australia will affect visa application process for same-sex partners, skilled visa applicants and others when implemented in March. Details:",Australia,,2018-01-21T01:35:04.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Some Updates on Australia PR Visa for You,,,2016-08-02T08:07:59.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
@australian updates to the 457 visa:,"moving, movingtoaustralia, visa, Australia, downunder",@australian,2015-05-29T11:23:33.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Chris Brown denied a visa to tour Australia,,,2015-09-27T04:04:30.000Z,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.000, 'compound': -0.4404}",negative
Status Update: MY VISA WAS APPROVED!!! Looks like I am officially moving to Australia for a year!!! <3 <3 <3,,,2015-05-15T19:34:02.000Z,"{'neg': 0.000, 'neu': 0.485, 'pos': 0.515, 'compound': 0.9423}",positive
"UPDATE: Australian immigration says ""no decision has been made"" on Tyler, the Creator's visa",,,2015-07-28T15:07:37.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Update: Australian authorities haven't denied Tyler, the Creator's visa application yet",,,2015-07-28T09:03:57.000Z,"{'neg': 0.000, 'neu': 0.806, 'pos': 0.194, 'compound': 0.3412}",neutral
Australia Issues Blanket Visa Ban On #Ebola-Hit Countries,"Ebola-Hit, tcot, tlot, Infowars",,2014-10-28T17:40:12.000Z,"{'neg': 0.340, 'neu': 0.660, 'pos': 0.000, 'compound': -0.5574}",negative
CFMEU win for exploited 457 visa workers in Canberra,"LetsSpreadItAround, ausunions",,2013-03-26T21:12:45.000Z,"{'neg': 0.217, 'neu': 0.507, 'pos': 0.275, 'compound': 0.2023}",negative
Reuters: World News: Indonesia overlooks Australia in visa-free travel list - Reuters: World News...,,,2015-03-16T12:50:39.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Reuters: Cyclical Consumer Goods: Indonesia overlooks Australia in visa-free travel list - Reuters:...,,,2015-03-16T13:03:45.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Visa Hotline update: Australia Visa: Your Key to the Land Down Under,,,2010-08-24T08:19:55.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Visa Hotline update: Tour And Travel ? Australia Visa Information Part 2,,,2010-07-27T02:00:35.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Update... The move to Australia: We are moving to Australia! This is exciting! Our long awaited visas h..,,,2009-06-05T10:45:56.000Z,"{'neg': 0.053, 'neu': 0.766, 'pos': 0.181, 'compound': 0.5696}",neutral
Can I Get A Schegen Visa From Australia And Depart From India?,,,2010-01-21T03:14:29.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Relevant Articles Update: Getting Vietnam Visa in Australia,,,2010-03-10T03:44:20.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Relevant Articles Update: Study in Australia Visa Programs,,,2010-05-19T03:18:49.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
TextNexus Update: New post: () ...,,,2009-12-03T20:53:35.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Relevant Articles Update: How to get a tourist visa for Australia?,,,2010-01-22T02:13:53.000Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
