post_title,datetime,sentiment_scores,sentiment,topic
Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z,-0.2846,negative,"dan tehan condemns, big australia policy, coalition immigration plan"
News Corp quotes anti-immigration TikToker but fails to reveal ex-One Nation MP adviser role ,2024-05-04T00:00:27Z,-0.5719,negative,"news corp quotes, immigration tiktoker, nation mp adviser role"
 Labor’s ‘draconian’ immigration detention conditions challenged in high court ,2023-11-22T06:45:07Z,-0.4404,negative,"labor draconian immigration detention conditions, high court"
Freed immigration detainee sues Australian government for damages for alleged false imprisonment,2024-01-15T14:00:32Z,-0.0516,negative,"immigration detainee sues australian government, false imprisonment"
More than 170 immigration detainees could be freed if Australian government loses high court challenge,2024-03-19T14:00:39Z,0.1779,negative,"immigration detainees, australian government, high court challenge"
Hundreds more immigration detainees could be released in sequel to NZYQ high court ruling,2024-02-15T14:00:18Z,0.0,neutral,"immigration detainees, nzyq high court ruling"
Andrew Giles faces years of litigation as he fights to prevent another disastrous defeat on immigration | Paul Karp,2024-03-31T14:00:42Z,-0.8834,negative,"andrew giles faces years, disastrous defeat, immigration paul karp"
"Australia’s immigration spike not necessarily driving up housing prices, experts say",2023-12-11T14:00:38Z,0.0,neutral,"australia immigration spike, prices experts"
Fifth immigration detainee arrested after release due to high court ruling,2023-12-07T03:48:26Z,-0.4767,negative,"immigration detainee, high court ruling"
Sixth former immigration detainee arrested in Melbourne for allegedly breaking curfew,2023-12-09T01:51:42Z,-0.4767,negative,immigration detainee
Peter Dutton doubles down on immigration attacks despite Victoria police clearing detainee of assault charges,2024-03-01T03:28:51Z,-0.8316,negative,"peter dutton doubles, immigration attacks, victoria police, assault charges"
Two immigration detainees charged after release due to high court ruling,2023-12-04T08:35:14Z,-0.2023,negative,"immigration detainees, high court ruling"
‘Missing’ man who left immigration detention without electronic monitoring is located,2023-11-29T07:25:31Z,-0.3612,negative,immigration detention
Seven of the immigration detainees released in Australia were convicted of murder or attempted murder,2024-02-12T06:30:11Z,-0.886,negative,immigration detainees
Immigration detention explainer: how is Labor responding to the landmark high court ruling? ,2023-11-16T00:59:45Z,-0.296,negative,"immigration detention explainer, landmark high court ruling"
Clare O’Neil claims she relied on verbal briefings only for prediction of high court immigration detention win,2024-03-20T22:30:13Z,0.3182,negative,"clare neil claims, verbal briefings, high court immigration detention"
Fourth former immigration detainee charged after release due to high court ruling,2023-12-06T06:43:01Z,-0.2023,negative,"immigration detainee, high court ruling"
Labor’s preventive detention regime passes Senate as third freed immigration detainee arrested ,2023-12-05T08:00:12Z,-0.4404,negative,"labor preventive detention regime, immigration detainee"
 Australia to immediately begin releasing people held in indefinite immigration detention,2023-11-09T20:40:38Z,-0.3612,negative,indefinite immigration detention
Youth curfew announced in Alice Springs; Labor’s ‘urgent’ immigration bill delayed; and the veggie chip taste test,2024-03-27T05:51:57Z,-0.2263,negative,"youth curfew, alice springs labor, urgent immigration bill, veggie chip taste test"
Malaysian hitman released from Australian immigration detention after high court ruling,2023-11-12T02:26:44Z,-0.3612,negative,"malaysian hitman, australian immigration detention, high court ruling"
Indefinite immigration detention ruled unlawful in landmark Australian high court decision ,2023-11-08T07:50:42Z,-0.296,negative,"indefinite immigration detention, landmark australian high court decision"
Labor’s emergency laws after immigration detention ruling may amount to ‘extrajudicial’ punishment,2023-11-17T14:00:13Z,-0.8074,negative,"labor emergency laws, immigration detention ruling, extrajudicial punishment"
Immigration detention: Labor to rush through emergency legislation after high court ruling,2023-11-15T04:46:32Z,-0.6249,negative,"immigration detention labor, emergency legislation, high court ruling"
Labor blames Peter Dutton’s decisions as immigration minister for ‘mess’ of indefinite detention ,2023-11-29T06:14:02Z,-0.6369,negative,"labor blames peter dutton decisions, immigration minister, indefinite detention"
Australia’s system of indefinite immigration detention to face high court challenge,2023-10-03T23:00:26Z,-0.296,negative,"australia system, indefinite immigration detention, court challenge"
Eighty people already freed from Australia’s immigration detention since landmark high court ruling,2023-11-12T22:17:36Z,0.128,negative,"eighty people, australia immigration detention, landmark high court ruling"
Australia releases stateless man on ‘strict conditions’ after indefinite immigration detention ruled unlawful ,2023-11-09T04:10:29Z,-0.3612,negative,"australia releases stateless man, strict conditions, indefinite immigration detention"
Labor to enact ‘preventive detention’ regime after high court reveals reasons for immigration ruling,2023-11-28T04:23:08Z,0.0,neutral,"preventive detention regime, high court reveals reasons, immigration ruling"
Immigration detention: Rohingya refugee NZYQ given sex offender counselling sessions in ‘very special deal’,2023-11-24T14:00:22Z,-0.3182,negative,"immigration detention rohingya refugee nzyq, sex offender"
Peter Dutton demands immigration minister Andrew Giles resign as another person released from detention,2023-11-30T06:01:41Z,-0.5994,negative,peter dutton demands immigration minister andrew giles resign
Immigration minister released friend of Bob Hawke from detention on visa that did not include ankle bracelet or curfew,2024-02-27T14:00:01Z,0.1779,negative,"immigration minister, bob hawke, ankle bracelet"
Immigration minister lifts ankle bracelet and curfew conditions for two ex-detainees suing Australian government,2023-12-14T14:00:02Z,-0.2732,negative,"immigration minister lifts ankle bracelet, curfew conditions, ex detainees, australian government"
"‘None’ of 81 people released from immigration detention arrived during Albanese government, Labor says",2023-11-14T06:53:02Z,-0.3612,negative,"immigration detention, albanese government labor"
"Ankle bracelets, curfews and criminal penalties in Labor response to release of immigration detainees",2023-11-15T16:50:46Z,-0.5267,negative,"ankle bracelets curfews, criminal penalties, labor response, immigration detainees"
Documents reveal details about the 92 people facing release from indefinite immigration detention in Australia,2023-11-10T02:53:46Z,-0.3612,negative,indefinite immigration detention
Andrew Giles issues new rules for visa cancellations that make community safety ‘highest priority’,2024-06-07T06:44:22Z,0.4215,neutral,"andrew giles issues, new rules, visa cancellations, community safety"
Dutton push for ‘migration zones’ for people released from immigration detention rejected as ‘stuff of tyranny’,2023-11-17T03:31:44Z,-0.7003,negative,"migration zones, immigration detention"
The week in parliament: things get ugly on immigration detention with political blood spilled on both sides | Amy Remeikis,2023-12-01T23:00:28Z,-0.7003,negative,"parliament things, immigration detention, political blood, sides amy remeikis"
I’ve been fighting Australia's mandatory immigration detention regime for decades – the high court’s decision is revolutionary | Mary Crock,2023-11-08T23:25:33Z,-0.5719,negative,"i ve, mandatory immigration detention regime, high court decision, revolutionary mary crock"
The pain for Labor on immigration detention is not over – especially if the Coalition and Greens team up | Paul Karp,2023-11-26T14:00:21Z,-0.7003,negative,"immigration detention, greens team, paul karp"
Criminals facing deportation from Australia have had their visas restored. How did this happen and who is to blame?,2024-05-29T04:38:59Z,-0.5719,negative,
New Zealand tightens visa rules after migration hits ‘unsustainable’ levels,2024-04-08T05:58:43Z,0.0,neutral,"new zealand tightens visa rules, migration hits, unsustainable levels"
Coalition accused of sitting on warnings that immigration detention may have breached duty of care,2023-09-11T02:30:22Z,-0.4019,negative,immigration detention
Afternoon Update: Record increase in net migration; PwC won’t share tax leaks report; and the hot cross buns taste test,2024-03-21T06:02:28Z,0.5423,neutral,"afternoon update record increase, net migration pwc, share tax leaks, hot cross buns taste test"
Immigration detention: Rohingya refugee NZYQ freed after high court case did not show remorse for raping 10-year-old,2023-11-22T02:42:01Z,-0.584,negative,"immigration detention rohingya refugee nzyq, high court case, show remorse"
‘Sign here’: high court finds no requirement for minister to read submissions on visa decisions,2024-04-10T01:57:11Z,-0.296,negative,"high court, visa decisions"
Home affairs under Peter Dutton was warned ‘failing’ immigration detention may have breached duty of care,2023-09-08T15:00:49Z,-0.1027,negative,"home affairs, peter dutton, immigration detention"
Australia’s use of hotels for immigration detention found to have ‘devastating’ health effects,2023-06-20T23:37:22Z,-0.3612,negative,"australia use, immigration detention"
"House prices will keep rising into next year, says Domain, as immigration boosts demand",2023-06-21T15:00:42Z,0.2023,neutral,"house prices, immigration boosts demand"
"Change in visa rules was to apply in absence of ‘serious offending or family violence’, Andrew Giles was told",2024-05-27T15:00:28Z,-0.5106,negative,"visa rules, family violence andrew giles"
How immigration changed Australia – an interactive journey through history,2023-01-29T14:00:53Z,0.0,neutral,interactive journey
Aneeta’s violent husband tried to sabotage her Australian visa application. She’s one of hundreds to secure one anyway,2024-07-07T00:00:51Z,-0.7096,negative,"violent husband, australian visa application"
Neo-Nazis clash with police and counter-protesters at anti-immigration rally in Melbourne,2023-05-13T06:22:35Z,0.0,neutral,"neo nazis clash, counter protesters, immigration rally"
New Zealanders to gain faster pathway to Australian citizenship under major changes to immigration rules,2023-04-21T12:30:40Z,0.5267,neutral,"new zealanders, australian citizenship, major changes, immigration rules"
Strict new rules come into force at US-Mexico border as Title 42 immigration ban expires,2023-05-12T04:18:57Z,-0.5574,negative,"new rules, mexico border, immigration ban"
Top public servant apologises for ‘significant’ error in Australia’s offshore immigration processing,2023-02-13T08:11:03Z,-0.0258,negative,"top public servant apologises, significant error, australia offshore immigration processing"
Clare O’Neil won’t rule out international student cap as part of visa crackdown,2023-12-11T05:47:12Z,0.0,neutral,"clare neil, international student cap, visa crackdown"
David Pocock blasts Albanese government as it reauthorises Nauru offshore immigration detention,2023-02-07T07:44:44Z,-0.3612,negative,"david pocock blasts albanese government, reauthorises nauru offshore immigration detention"
"Why is Labor defending Alex Hawke’s ‘bizarre’, ‘steering wheel’ visa decision in the high court? | Paul Karp",2023-10-29T14:00:48Z,0.0,neutral,"alex hawke bizarre, wheel visa decision, high court paul karp"
"Electronic monitoring in community could reduce immigration detention, document states",2022-11-21T14:00:23Z,-0.3612,negative,immigration detention document states
"The Crunch: migration hits record high, bird flu takes flight and kicking goals with AFL mullets",2024-05-30T01:56:14Z,-0.3818,negative,"crunch migration hits record high bird flu, afl mullets"
Legal challenge to Australia’s indefinite immigration detention could determine freedom of hundreds ,2022-12-29T14:00:22Z,0.5423,negative,"legal challenge, indefinite immigration detention"
Labor condemned for ‘abhorrently cruel’ decision to put 100 people back in immigration detention,2023-02-08T14:00:20Z,-0.6597,negative,"cruel decision, immigration detention"
Surge in Palestinians applying for protection while in Australia prompts calls to create ‘emergency uplift’ visa,2024-07-01T15:00:22Z,0.2732,neutral,"australia prompts, emergency uplift visa"
"Immigration detainee not given new food because maggots ‘just on the vegetables’, report finds",2023-01-23T14:00:08Z,0.0,neutral,"immigration detainee, new food"
"Migration rose by one-third last year to lift Australia’s population by a record 659,000",2024-03-21T06:36:29Z,0.0,neutral,australia population
Labor’s deportation bill could be used to blacklist entire countries’ citizens from obtaining visas to Australia,2024-03-27T14:00:27Z,0.0,neutral,"labor deportation bill, entire countries citizens"
Refugee charged with breaching curfew launches high court challenge to released detainees’ visa conditions,2024-02-28T04:33:23Z,-0.128,negative,"curfew launches, court challenge, detainees visa conditions"
Living in a tent: the Melbourne family left homeless after a visa processing bungle,2024-06-01T20:00:14Z,0.0,neutral,"melbourne family, visa processing bungle"
‘All I know is Australia’: Indigenous man left in immigration detention for more than three years,2023-02-18T19:00:04Z,-0.3612,negative,"australia indigenous man, immigration detention"
Up to 100 people released from immigration detention after Australian government loses court case,2022-12-28T14:00:53Z,-0.5859,negative,"immigration detention, australian government, court case"
Labor reverses course on ministerial ruling that saw criminals given visas,2024-05-29T06:31:53Z,-0.5719,negative,"labor reverses course, ministerial ruling"
"Map reveals Australian hotels used for immigration detention, but secrecy means it’s incomplete",2022-12-01T14:00:49Z,-0.1901,negative,"map reveals australian hotels, immigration detention"
‘Never given a chance’: freed asylum seekers lament lost decade in immigration detention,2022-11-20T14:00:28Z,-0.6249,negative,"asylum seekers lament, immigration detention"
"Australia loves prisons! Just ask the 1,400 people locked up in immigration detention | First Dog on the Moon",2022-10-24T06:13:20Z,0.3595,negative,immigration detention
Palestinians were refused Australian visitor visas due to concerns they would not ‘stay temporarily’,2024-04-16T02:18:05Z,-0.296,negative,australian visitor visas
Peter Dutton talks a big game on migration – but do his budget reply promises stack up?,2024-05-17T04:59:53Z,0.5267,neutral,"peter dutton, big game, budget reply"
Afternoon Update: Australia to get a poet laureate; US police allegedly beat homeless man; and a smart immigration interactive,2023-01-30T05:26:36Z,0.4019,neutral,"afternoon update australia, poet laureate, homeless man, smart immigration interactive"
Hiking international student visa fees is on the table – but could it also pay your rent? | Paul Karp,2024-04-07T15:00:06Z,-0.1531,negative,"international student visa fees, rent paul karp"
Refugee advocates ‘encouraged’ as Albanese government considers ways to reduce immigration detention backlog,2022-09-24T20:00:14Z,-0.3612,negative,"refugee advocates, albanese government considers ways, immigration detention backlog"
‘They will never be granted the visa in their lifetime’: the families waiting decades to settle parents in Australia,2023-07-30T15:00:11Z,-0.1877,negative,
"High court may hear ‘bizarre’ immigration case involving Alex Hawke, a former marine and a steering wheel photo",2022-12-21T14:00:08Z,0.0,neutral,"high court, bizarre immigration case, alex hawke, wheel photo"
Greens accuse Labor and Coalition of ‘race to the bottom’ over migration bill – as it happened,2023-12-05T07:04:49Z,-0.2023,negative,migration bill
The migration strategy won’t silence Dutton but Labor is backing away from the feared Big Australia | Paul Karp,2023-12-10T14:00:53Z,-0.631,negative,"migration strategy, silence dutton, big australia paul karp"
"Morning Mail: Morrison secret ministry ‘voids visa ruling’, high-speed rail abandoned, Lyon roars in India ",2023-03-02T19:56:03Z,-0.4588,negative,"secret ministry voids visa ruling high speed rail, lyon roars"
"Australian-born judge released from immigration detention in Kiribati, after being held overnight",2022-08-12T08:28:32Z,-0.3612,negative,immigration detention
PM questions migration attacks – as it happened,2023-05-15T08:40:03Z,-0.4404,negative,pm questions migration attacks
Visa system to be target of Labor crackdown after review uncovers ‘grotesque abuses’ ,2023-10-04T03:10:59Z,0.0,neutral,"visa system, labor crackdown, review uncovers grotesque abuses"
Immigration minister says Nadesalingam family can stay in Biloela ‘with certainty’,2022-06-15T17:30:38Z,0.0,neutral,"immigration minister, nadesalingam family"
"Australia on track for 2023 migration boom as arrivals dwarf Treasury forecasts, ex-official says",2023-01-13T03:10:33Z,0.2023,neutral,"migration boom, arrivals dwarf treasury forecasts ex"
"Only a matter of time before someone is killed in Australian immigration detention, detainees say",2022-09-03T20:00:27Z,-0.7845,negative,australian immigration detention detainees
"Labor hikes international student visa fees as sector warns of ‘death by 1,000 cuts’",2024-07-01T03:03:21Z,-0.1027,negative,"labor hikes, international student visa fees, sector warns"
"‘No end to this’: six visas, six migration agents, four jobs in regional Australia and still no permanent residency",2023-04-02T15:00:24Z,-0.296,negative,"migration agents, regional australia, permanent residency"
"The Nadesalingams are back in Biloela, but Australia’s unjust immigration system endures | Ben Doherty",2022-06-10T20:00:12Z,-0.6652,negative,australia unjust immigration system endures ben doherty
"Australia holding immigration detainees for average of almost two years, freedom of information request reveals",2022-08-01T10:37:11Z,0.6041,neutral,"immigration detainees, years freedom, information request reveals"
Visitors to Australia could now lose their visa if they hide plant or animal products in luggage,2023-11-01T14:00:12Z,-0.5267,negative,"hide plant, animal products"
Immigration detainees transferred from Melbourne to Christmas Island amid heated protests,2022-05-04T07:15:08Z,-0.2263,negative,"immigration detainees, christmas island"
Angus Taylor at odds with Dutton on migration targets in ‘shambolic’ post-budget appearance,2024-05-22T06:06:51Z,0.0,neutral,"angus taylor, migration targets, shambolic post budget appearance"
State Labor MPs call on Albanese government to expand visa access for Palestinian refugees,2024-04-16T21:00:01Z,0.3182,neutral,"state labor mps, albanese government, visa access, palestinian refugees"
"When it comes to migration, we must separate fact from fiction – and be sceptical of political tough talk | Alan Gamlen",2024-05-20T02:55:50Z,-0.4019,negative,"separate fact, political tough talk alan gamlen"
Alexander Downer features in UK video promoting Britain’s ‘new plan for immigration’,2022-04-18T10:56:39Z,0.3612,neutral,"alexander downer, uk video, new plan"
Never mind the bollocks: Albanese’s non-gaffe on immigration was just media hysteria | Katharine Murphy,2022-04-15T01:58:16Z,-0.4404,negative,"bollocks albanese non gaffe, media hysteria katharine murphy"
"Morning Mail: Labor reveals visa fix, politics at the Arias, India through to World Cup final",2023-11-15T20:02:33Z,0.0,neutral,"labor reveals visa fix politics, arias india, world cup"
"Hong Kong withholds British lawyer’s visa, delaying Jimmy Lai trial",2022-12-01T06:19:14Z,0.0,neutral,"hong kong withholds british lawyer visa, jimmy lai trial"
Iranian refugee Mehdi Ali released after nine years in Australian immigration detention,2022-03-03T21:10:58Z,-0.3612,negative,"iranian refugee mehdi ali, australian immigration detention"
"Three years after beating deportation, Indigenous Australians freed from visa limbo",2023-01-29T14:00:53Z,-0.0772,negative,"deportation indigenous australians, visa limbo"
"Villawood, Australia’s largest immigration detention centre, said to be ‘awash with drugs’",2022-02-20T16:30:08Z,-0.3612,negative,"villawood australia, immigration detention centre"
"Australia raises permanent migration cap to 195,000 to ease workforce shortages",2022-09-02T01:13:09Z,0.2263,negative,"australia raises, permanent migration cap, workforce shortages"
New Zealand loses appeal to rich foreigners as investor visa numbers plunge,2023-04-06T05:47:02Z,0.3182,negative,"new zealand, rich foreigners, investor visa numbers plunge"
Novak Djokovic to face immigration officials after Australian visa cancelled again,2022-01-14T12:35:49Z,-0.25,negative,"novak djokovic, immigration officials, australian visa"
"Migration has been blamed for the housing crisis, but it’s not that simple",2024-05-29T15:00:05Z,-0.5574,negative,
"Thousands of Australian visa decisions may be affected by high court ruling, experts warn",2023-04-13T15:00:48Z,-0.25,negative,"australian visa decisions, high court ruling experts"
"Asylum seekers, families allegedly threatened after Australian immigration data breach",2021-12-12T22:49:29Z,-0.4588,negative,"asylum seekers families, australian immigration data breach"
"Australia holding people in immigration detention for record 689 days on average, report finds",2022-02-16T00:49:34Z,-0.3612,negative,"immigration detention, average report"
"Morning Mail: Dutton’s visa call, $100bn fossil fuel tax proposed, Kremlin adds to most wanted list",2024-02-13T19:57:31Z,0.0,neutral,"dutton visa, 100bn fossil fuel tax"
"Morning Mail: Muslim leaders boycott state dinners, businessman visa case, Palmer claims anti-vaccine mandate ‘victory’",2024-02-27T19:57:06Z,-0.3182,negative,"muslim leaders boycott state dinners businessman visa case palmer claims, vaccine mandate victory"
How Australia’s handling of Djokovic exposed its flawed immigration system to the world,2022-01-11T16:30:22Z,-0.5267,negative,immigration system
International students left feeling like ‘cash cows’ after Albanese government raises visa fees,2024-07-06T20:00:48Z,0.4588,positive,"international students, cash cows, albanese government raises visa fees"
‘It’s very unfair’: Australia’s visa crackdown is disrupting international students and hitting university finances,2024-05-05T02:00:03Z,0.0,neutral,"unfair australia visa crackdown, international students, university finances"
Relatives ‘surprised and shocked’ after 68-year-old Gaza woman’s Australian visa cancelled on security grounds,2024-04-25T15:00:27Z,0.1027,negative,"old gaza woman australian visa, security grounds"
"As we celebrate the permanent residency granted to Sydney’s ‘bollard man’, visa uncertainty looms over others | Shankar Kasynathan",2024-04-19T01:33:39Z,0.4019,negative,"permanent residency, sydney bollard man visa uncertainty looms, others shankar kasynathan"
Coalition plan to privatise visa processing to be subject of new inquiry,2023-11-30T06:51:00Z,0.0,neutral,"coalition plan, privatise visa processing, new inquiry"
Australia to investigate how Palestinians crossed Gaza border after government suspends visas,2024-03-15T07:24:31Z,0.0,neutral,"gaza border, government suspends visas"
‘Power imbalance’: how Australia’s visa system leaves migrants beholden to their employers,2023-09-03T00:00:18Z,0.0,neutral,"power imbalance, australia visa system leaves migrants beholden"
China and Australia agree to new multi-entry visa as Albanese touts improved relationship after thaw,2023-11-07T07:44:26Z,0.6705,neutral,"new multi entry visa, albanese touts"
Afternoon Update: PM says Coalition ‘just wrong’ on visas; ex-Ten presenter and partner missing; and can you remember these ‘best picture’ films?,2024-02-22T06:42:50Z,-0.296,negative,"afternoon update pm, visas ex, picture films"
"Morning Mail: Australia win thriller to reach World Cup final, Labor dissent over visa law, Optus outage outrage",2023-11-16T19:53:15Z,0.25,negative,"world cup, final labor dissent, visa law optus outage outrage"
"Palestinians who had Australian visas cancelled mid-flight are ‘collateral damage’, charity group says",2024-03-15T14:00:37Z,0.2023,negative,"australian visas, mid flight, collateral damage charity group"
Labor targets student and some worker visas in overhaul of Australia’s temporary migration program,2023-12-10T14:00:54Z,0.0,neutral,"labor targets student, worker visas, temporary migration program"
Peter Dutton doubles down on call to cancel visas of antisemitic protesters,2023-10-13T00:31:06Z,-0.4404,negative,"peter dutton doubles, antisemitic protesters"
O’Neil accuses Dutton of politicising national security on visas for Israel-Palestine conflict: as it happened,2023-11-24T06:40:28Z,-0.3182,negative,"o neil accuses dutton, national security, israel palestine conflict"
"GPs aiding international student agents to exploit Australian visa ‘loophole’, inquiry hears",2023-05-15T08:34:10Z,-0.1027,negative,"international student agents, australian visa loophole inquiry hears"
"Asylum seeker walking 1,000km from Ballarat to Sydney to raise awareness about life in visa limbo",2023-07-31T22:00:04Z,0.0,neutral,"asylum seeker, visa limbo"
"The moment I knew: our visa situation made things complicated – then he proposed, hypothetically",2023-06-17T20:00:23Z,0.0,neutral,visa situation
"After seven years in Australia, I’m finally off the visa merry-go-round | Lucy Pearson",2023-05-29T05:24:57Z,0.0,neutral,"australia m, visa merry, round lucy pearson"
Afternoon Update: former Liberal staffer gives evidence in Lehrmann defamation case; US to place visa bans on some Israeli settlers; and first summer heatwave,2023-12-06T05:40:49Z,0.0,neutral,"afternoon update, liberal staffer, lehrmann defamation case, israeli settlers, summer heatwave"
High court ruling casts doubt on hundreds of Australian visa refusals,2023-04-12T03:33:14Z,-0.3612,negative,"high court ruling casts doubt, australian visa refusals"
"Morning Mail: $2bn ‘silent stalker’ student debt, partner visa blowout, Sudan embassy evacuations ",2023-04-23T20:50:20Z,-0.3612,negative,silent stalker student debt partner visa blowout sudan embassy evacuations
Fugitive turned Sydney identity Darko ‘Dougie’ Desic granted permanent visa,2023-02-06T10:14:02Z,0.25,neutral,"sydney identity darko dougie desic, permanent visa"
‘Regional’ visa pushed by Coalition MPs actually allows migrants to move to cities,2023-04-05T15:00:11Z,0.0,neutral,"regional visa, coalition mps"
Dozens re-detained after visa cancellation bill passes – as it happened,2023-02-17T08:19:41Z,0.0,neutral,"dozens re, visa cancellation bill"
Morning Mail: changes to ‘broken’ migration system; Cop28 goes down to the wire; winter looms in Gaza,2023-12-10T19:53:40Z,-0.1531,negative,"migration system cop28, wire winter looms"
Scott Morrison’s secret ministries used as grounds for Afghan man’s cancelled visa case,2023-03-02T14:00:07Z,-0.25,negative,"scott morrison, secret ministries, afghan man, visa case"
Peter Dutton promises to slash permanent migration by 25% in short term in populist budget reply,2024-05-16T13:00:39Z,0.128,negative,"peter dutton, permanent migration, short term, populist budget reply"
Visa delays caused by security checks turning Chinese students away from Australian universities,2023-02-18T19:00:05Z,0.34,neutral,"visa delays, security checks turning chinese students, australian universities"
Defence force ‘surge’ to detect asylum boats in Australia’s northern waters follows visa change,2023-02-15T23:54:47Z,0.1027,neutral,"defence force surge, detect asylum boats, northern waters"
"Morning Mail: sporting concussion’s hidden trauma, asylum seeker visa change, Gabrielle hits New Zealand",2023-02-12T20:01:48Z,-0.4215,negative,"trauma asylum seeker visa, gabrielle hits, new zealand"
Visa delays await Chinese students returning to Australia after sudden ban on online learning,2023-01-30T07:31:24Z,-0.4939,negative,"visa delays await chinese students, sudden ban, online learning"
Iranian PhD students remain in limbo due to Australian visa delays despite securing scholarships,2023-01-14T19:00:15Z,-0.2411,negative,"iranian phd students, australian visa delays"
Pacific Islander workers making as little as $200 a week in Australia seek protection visas for better pay,2023-07-22T20:00:21Z,0.3612,neutral,"pacific islander workers, protection visas"
With the latest visa decision I hope we’re done with a mean-spirited period in Australian history | Zaki Haidari,2023-02-13T05:56:41Z,0.4404,neutral,"visa decision hope, australian history zaki haidari"
Trial of Hong Kong tycoon Jimmy Lai delayed after British lawyer denied visa extension,2022-12-13T05:17:07Z,-0.5859,negative,"hong kong tycoon jimmy lai, british lawyer"
Sudanese Australians call for emergency visas to help loved ones escape worsening conflict,2023-05-03T04:41:17Z,0.1027,negative,"sudanese australians, emergency visas"
Tennis star Novak Djokovic to be granted visa to play in Australian Open ,2022-11-15T05:46:20Z,0.5267,positive,tennis star novak djokovic
My first umpiring gig for a local cricket club has been a welcome distraction from waiting for a family visa | Shadi Khan Saif,2023-03-13T14:00:21Z,0.1027,neutral,"local cricket club, family visa shadi khan saif"
"Daryl Maguire, former MP and ex-partner of Gladys Berejiklian, charged over alleged visa fraud",2022-11-29T05:40:02Z,-0.6808,negative,"daryl maguire, ex partner, gladys berejiklian, visa fraud"
"Australia’s post-pandemic surge in net overseas migration temporary, federal budget predicts",2023-05-09T15:00:48Z,0.0,neutral,"australia post pandemic surge, net overseas migration, temporary federal budget predicts"
‘Putting their lives on hold’: Australian families kept apart as wait times for partner visas blow out ,2023-04-23T15:00:42Z,0.0,neutral,"australian families, partner visas blow"
Labor’s refusal to grant visa to people smuggler challenged in high court,2022-08-09T05:02:38Z,-0.25,negative,"labor refusal, people smuggler, high court"
Sorrow turns to anger over ‘disgusting’ Australian visa cancellation for New Zealand-born father,2022-09-18T17:30:20Z,-0.7964,negative,"australian visa cancellation, new zealand"
Reports EU set to suspend visa travel agreement with Russia – as it happened,2022-08-28T19:23:47Z,0.2263,negative,"reports eu, visa travel agreement"
"Morning mail: visa backlog’s human impact, Putin’s army plan, Dutton denounces ‘witch-hunt’",2022-08-25T20:50:18Z,-0.4404,negative,visa backlog human impact putin army plan dutton denounces witch hunt
Dutton readies budget reply as Chalmers links migration cut to inflation fight ,2024-05-15T15:00:43Z,-0.5719,negative,"dutton readies budget reply, chalmers links migration, inflation fight"
‘I can never feel settled’: wait time for key Australian work visa more than doubles,2022-09-29T17:30:17Z,0.0,neutral,key australian work visa
